ROAD ACCESS,FACING,FLOOR,PARKING,BEDROOM,BATHROOM,FURNISH STATUS,Price,Location,LAND AREA,BUILT YEAR,BUILTUP AREA,Living ,Kitchen
13 Feet,West,2.5,1 Car  & 1 Bike,5,3,Semi-Furnished,Rs. 2.8Cr,"Imadol, Lalitpur",,2024 AD,855 Sq. Ft.,,1
13 Feet,West,2.5,1 Car  & 2 Bikes,5,5,Semi-Furnished,Rs. 2.4Cr,"Imadol, Lalitpur",2.2 aana,2024 AD,,,2
13 Feet,South-East,2.5,2 Cars  & 1 Bike,5,4,Full-Furnished,Rs. 3.2Cr,"Imadol, Lalitpur",3.2 aana,2024 AD,,2,2
13 Feet,East,2.5,1 Car  & 1 Bike,5,3,Semi-Furnished,Rs. 2.9Cr,"Imadol, Lalitpur",3.2 aana,2024 AD,750 Sq. Ft.,1,1
20 Feet,South-East,3,1 Car  & 2 Bikes,6,4,Semi-Furnished,Rs. 3.4Cr,"Ochu Height, Lalitpur",3.2 aana,2024 AD,750 Sq. Ft.,,2
13 Feet,West,2.5,1 Car  & 2 Bikes,,4,Semi-Furnished,Rs. 3.25Cr,"Imadol, Lalitpur",5.1 aana,2024 AD,800 Sq. Ft.,2,2
13 Feet,South-East,2.5,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 2.3Cr,"Bojepokhari, Lalitpur",,2024 AD,500 Sq. Ft.,,
13 Feet,East,2.5,2 Cars  & 4 Bikes,5,4,Full-Furnished,Rs. 1.9Lac/m,"Bhaisepati, Lalitpur",,2081 BS,,,
13 Feet,East,2.5,1 Car  & 4 Bikes,7,5,Full-Furnished,Rs. 1.5Lac/y,"Bhaisepati, Lalitpur",,2081 BS,,1,
16 Feet,North-East,2.5,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 2.6Cr,"Shital Height, Lalitpur",3.2 aana,2024 AD,550 Sq. Ft.,1,1
13 Feet,East,3.5,1 Car  & 2 Bikes,5,4,Full-Furnished,Rs. 4.25Cr,"Imadol, Lalitpur",,2024 AD,600 Sq. Ft.,,2
13 Feet,South-East,2.5,1 Car  & 1 Bike,5,3,Semi-Furnished,Rs. 3.9Cr,"Sunakothi, Lalitpur",,2024 AD,1197 Sq. Ft.,2,
14 Feet,West,1,1 Car  & 1 Bike,2,1,Semi-Furnished,Rs. 1.8Cr,"Shital Height, Lalitpur",3.2 aana,2024 AD,400 Sq. Ft.,,1
20 Feet,South-East,1,1 Car  & 1 Bike,2,1,Semi-Furnished,Rs. 1.8Cr,"Imadol, Lalitpur",3.2 aana,2024 AD,400 Sq. Ft.,1,
13 Feet,West,2.5,1 Car  & 1 Bike,5,4,Semi-Furnished,Rs. 3.2Cr,"Imadol, Lalitpur",,2024 AD,850 Sq. Ft.,2,1
13 Feet,South,3,1 Car  & 2 Bikes,5,3,Full-Furnished,Rs. 3.4Cr,"Shital Height, Lalitpur",3.3 aana,2024 AD,2024 Sq. Ft.,2,1
13 Feet,South,3,1 Car  & 2 Bikes,5,4,Full-Furnished,Rs. 3.75Cr,"Imadol, Lalitpur",3.2 aana,2024 AD,1197 Sq. Ft.,1,1
13 Feet,North-East,2.5,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 2.6Cr,"Imadol, Lalitpur",3.2 aana,2079 BS,855 Sq. Ft.,1,2
13 Feet,South,2.5,1 Car  & 1 Bike,6,3,Full-Furnished,Rs. 2.75Cr,"Sanagaun, Lalitpur",,2022 AD,900 Sq. Ft.,1,
12 Feet,East,2.5,3 Cars  & 2 Bikes,6,3,Semi-Furnished,Rs. 4.8Cr,"Bojepokhari, Lalitpur",,2060 BS,3200 Sq. Ft.,,2
20 Feet,South-East,2.5,1 Car  & 2 Bikes,6,4,Semi-Furnished,Rs. 3.5Cr,"Harisiddhi, Lalitpur",,2070 BS,2800 Sq. Ft.,1,2
13 Feet,East,2.5,1 Car  & 4 Bikes,6,5,Semi-Furnished,Rs. 1.8Lac/m,"Bhaisepati, Lalitpur",,2081 BS,,1,1
20 Feet,North,2.5,1 Car  & 4 Bikes,1,2,Semi-Furnished,Rs. 1.95Cr,"Lamatar, Lalitpur",,2073 BS,2200 Sq. Ft.,,2
13 Feet,East,2,3 Cars  & 5 Bikes,5,4,Full-Furnished,Rs. 2Lac/m,"Bhaisepati, Lalitpur",,2081 BS,,1,1
20 Feet,West,1.5,1 Car  & 5 Bikes,1,1,Semi-Furnished,Rs. 1.3Cr,"Lamatar, Lalitpur",,2081 BS,2000 Sq. Ft.,,2
13 Feet,East,2,1 Car  & 4 Bikes,5,4,Full-Furnished,Rs. 1.5Lac,"Bhaisepati, Lalitpur",,2081 BS,,2,2
13 Feet,South-West,2.5,1 Car  & 4 Bikes,7,5,,Rs. 3.65Cr,"Tinthana, Kathmandu",5.1 aana,2081 BS,1800 Sq. Ft.,,1
20 Feet,South-West,5,5 Bikes,,,Full-Furnished,Rs. 6.75Cr,"Pepsicola, Kathmandu",7.3 aana,2081 BS,,,
22 Feet,East,4.5,5 Bikes,,,Full-Furnished,Rs. 5Cr,"Pepsicola, Kathmandu",,2081 BS,,2,
22 Feet,East,3,1 Car  & 1 Bike,7,4,Semi-Furnished,Rs. 4.25Cr,"Shital Height, Lalitpur",5.2 aana,2025 AD,3000 Sq. Ft.,2,
20 Feet,West,2.5,1 Car  & 1 Bike,5,5,Semi-Furnished,Rs. 2.8Cr,"Harisiddhi, Lalitpur",3.2 aana,2025 AD,2400 Sq. Ft.,2,1
13 Feet,South-East,3,1 Car  & 2 Bikes,6,4,Semi-Furnished,Rs. 3.3Cr,"Tikathali, Lalitpur",,2025 AD,2600 Sq. Ft.,2,2
13 Feet,South-East,3.5,1 Car  & 1 Bike,6,4,Semi-Furnished,Rs. 2.25Cr,"Tikathali, Lalitpur",,2025 AD,,1,1
13 Feet,South-East,3.5,1 Car  & 1 Bike,6,4,Semi-Furnished,Rs. 2.45Cr,"Tikathali, Lalitpur",3.2 aana,2025 AD,900 Sq. Ft.,1,2
13 Feet,East,3,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 2.45Cr,"Tikathali, Lalitpur",,2025 AD,855.625 Sq. Ft.,1,1
20 Feet,East,3.5,2 Cars  & 4 Bikes,5,6,Semi-Furnished,Rs. 3.3Cr,"Sanagaun, Lalitpur",4.1 aana,2081 BS,3100 Sq. Ft.,2,
16 Feet,South-East,2.5,5 Cars,6,5,,Rs. 62Cr,"Budhanilkantha, Kathmandu",,2073 BS,1540.12 Sq. Ft.,2,1
15 Feet,East,2,1 Car,5,2,Semi-Furnished,Rs. 4.2Cr,"Satdobato, Lalitpur",,2054 BS,793 Sq. Ft.,2,1
12 Feet,South-West,2,2 Cars,5,4,Full-Furnished,Rs. 6.98Cr,"Nakhipot, Lalitpur",7.2 aana,2079 BS,1350 Sq. Ft.,1,2
13 Feet,South,2,3 Cars,5,5,Un-Furnished,Rs. 5.15Cr,"Budhanilkantha, Kathmandu",,2068 BS,,2,2
13 Feet,North,3,1 Car  & 2 Bikes,6,3,Un-Furnished,Rs. 4.2Cr,"Bhangal , Kathmandu",,,1500 Sq. Ft.,2,2
13 Feet,East,3,1 Car  & 2 Bikes,6,3,Un-Furnished,Rs. 2.25Cr,"Dhalmal, Kathmandu",3.2 aana,,1200 Sq. Ft.,,
13 Feet,North,3,1 Car  & 2 Bikes,5,3,Un-Furnished,Rs. 2.75Cr,"Budhanilkantha, Kathmandu",3.2 aana,,1500 Sq. Ft.,1,1
13 Feet,South,3,2 Cars  & 4 Bikes,6,3,Un-Furnished,Rs. 4.2Cr,"Budhanilkantha, Kathmandu",,,1500 Sq. Ft.,1,1
12 Feet,South-West,2.5,2 Cars  & 9 Bikes,8,7,Semi-Furnished,Rs. 6.6Cr,"Kupandole, Lalitpur",6.3 aana,2069 BS,1800 Sq. Ft.,1,2
13 Feet,North-East,3,1 Car  & 2 Bikes,6,3,Un-Furnished,Rs. 3.65Cr,"Mandikhatar, Kathmandu",4.2 aana,,1200 Sq. Ft.,,
16 Feet,East,2.5,1 Car  & 4 Bikes,7,3,Un-Furnished,Rs. 3.5Cr,"Ganesh Chowk, Kathmandu",5.2 aana,,1500 Sq. Ft.,1,2
20 Feet,East,3,1 Car  & 4 Bikes,7,5,Full-Furnished,Rs. 3.25Cr,"Balkot, Bhaktapur",,,,2,
,South,1,1 Car  & 1 Bike,2,2,Full-Furnished,Rs. 2.8Lac/m,"Maharajgunj, Kathmandu",,,,1,1
16 Feet,North-East,2.5,1 Car  & 4 Bikes,5,3,Full-Furnished,Rs. 4.5Cr,"Bhaisepati, Lalitpur",,2081 BS,,2,1
20 Feet,South-West,2.5,2 Cars  & 6 Bikes,5,3,Un-Furnished,Rs. 7.25Cr,"Hepali Height, Kathmandu",,,1500 Sq. Ft.,1,
13 Feet,South,1,1 Car  & 1 Bike,2,1,Un-Furnished,Rs. 1.5Cr,"Thali, Kathmandu",,2080 BS,,,2
13 Feet,East,4,1 Car  & 2 Bikes,7,3,Un-Furnished,Rs. 3.7Cr,"Pepsicola, Kathmandu",3.1 aana,,1200 Sq. Ft.,,2
