ROAD ACCESS,FACING,FLOOR,PARKING,BEDROOM,BATHROOM,FURNISH STATUS,Price,Location,LAND AREA,BUILT YEAR,BUILTUP AREA,Living ,Kitchen
20 Feet,South,3,3 Cars,4,3,Semi-Furnished,Rs. 1.15Lac/m,"Dhumbarahi, Kathmandu",,,,2,2
,,3,1 Car  & 1 Bike,4,4,Full-Furnished,"Rs. 65,000/m","Bhaisepati, Lalitpur",,,,1,
13 Feet,North,3,1 Car  & 3 Bikes,6,5,Semi-Furnished,Rs. 3.25Cr,"Imadol, Lalitpur",3.2 aana,2080 BS,2800 Sq. Ft.,,1
,,2.5,1 Car  & 3 Bikes,8,6,Un-Furnished,Rs. 1.75Lac/m,"Basundhara, Kathmandu",,,,1,1
,East,3,2 Cars  & 3 Bikes,6,3,Semi-Furnished,Rs. 3.7Cr,"Bhangal , Kathmandu",4.2 aana,,,2,
,,2.5,1 Car  & 2 Bikes,5,3,Semi-Furnished,"Rs. 70,000/m","Kalimati, Kathmandu",,,,1,2
,West,2.5,3 Cars  & 4 Bikes,3,2,Un-Furnished,"Rs. 75,000/m","New Baneshwor, Kathmandu",,,,2,2
,West,3,1 Car  & 1 Bike,6,4,Full-Furnished,Rs. 3Cr,"Mulpani, Kathmandu",,,,,
,South,3.5,4 Cars  & 6 Bikes,6,3,,Rs. 1.5Lac/m,"Thamel, Kathmandu",,,,,
18 Feet,South,2.5,,4,3,Semi-Furnished,Rs. 2.1Lac/m,"Panipokhari, Kathmandu",,2073 BS,2300 Sq. Ft.,,
,South,3.5,4 Cars  & 6 Bikes,8,6,,"Rs. 95,000/m","Sitapaila, Kathmandu",,,,2,1
,South,2.5,2 Cars  & 4 Bikes,4,4,Un-Furnished,Rs. 2Lac/m,"Sukedhara, Kathmandu",,,,1,1
20 Feet,South,2.5,4 Cars  & 8 Bikes,6,3,Semi-Furnished,Price on call,"Budhanilkantha, Kathmandu",,,,,2
,South,2.5,2 Cars  & 4 Bikes,7,4,Un-Furnished,Rs. 1Lac/m,"Bhangal , Kathmandu",,,,1,2
12 Feet,South,3,1 Car  & 1 Bike,4,4,Semi-Furnished,Rs. 2.9Cr,"Dholahiti, Lalitpur",3.1 aana,2076 BS,2000 Sq. Ft.,1,
21 Feet,East,2,3 Cars  & 2 Bikes,3,2,Un-Furnished,Price on call,"Jharuwarasi, Lalitpur",,2077 BS,1215 Sq. Ft.,2,2
13 Feet,South-East,2.5,1 Car  & 2 Bikes,5,3,Semi-Furnished,Rs. 2.25Cr,"Sanagaun, Lalitpur",,2080 BS,2500 Sq. Ft.,,
13 Feet,South,3.5,2 Cars  & 1 Bike,5,4,Semi-Furnished,Rs. 3.05Cr,"Imadol, Lalitpur",3.1 aana,2080 BS,,,1
13 Feet,South,3.5,3 Cars  & 5 Bikes,6,7,Full-Furnished,Rs. 5.5Cr,"Imadol, Lalitpur",5.1 aana,2080 BS,,2,
13 Feet,North,3,1 Car  & 4 Bikes,5,4,Full-Furnished,Rs. 3.2Cr,"Imadol, Lalitpur",3.1 aana,2080 BS,3000 Sq. Ft.,1,2
20 Feet,South-West,2.5,3 Cars  & 9 Bikes,7,3,Un-Furnished,Rs. 1.38Cr,"Butwal, Rupandehi",0.8 kattha,2080 BS,79.42 Sq. Mtr.,1,1
20 Feet,North-East,3,1 Car  & 2 Bikes,5,4,Full-Furnished,Rs. 3.95Cr,"Harisiddhi, Lalitpur",3.1 aana,2080 BS,2650 Sq. Ft.,1,1
13 Feet,South-East,2.5,1 Car  & 2 Bikes,4,4,Semi-Furnished,Rs. 3.15Cr,"Satdobato, Lalitpur",,2080 BS,2100 Sq. Ft.,,2
16 Feet,South-West,3.5,1 Car  & 2 Bikes,6,5,Full-Furnished,Rs. 5.5Cr,"Imadol, Lalitpur",5.1 aana,2080 BS,,2,2
20 Feet,North-West,3,1 Car  & 4 Bikes,4,4,Full-Furnished,Rs. 3.95Cr,"Harisiddhi, Lalitpur",3.1 aana,2080 BS,3080 Sq. Ft.,,1
13 Feet,West,2.5,1 Car  & 1 Bike,5,4,Semi-Furnished,Rs. 3.1Cr,"Imadol, Lalitpur",3.1 aana,2080 BS,,2,
13 Feet,East,2.5,1 Car  & 2 Bikes,5,4,Full-Furnished,Rs. 3.2Cr,"Imadol, Lalitpur",3.1 aana,2080 BS,2450 Sq. Ft.,,2
13 Feet,East,3.5,1 Car  & 3 Bikes,5,4,Semi-Furnished,Rs. 3.25Cr,"Ramkot, Kathmandu",4.2 aana,,,,
13 Feet,South,2,1 Car  & 1 Bike,3,3,Full-Furnished,Rs. 1.75Cr,"Lamatar, Lalitpur",,2079 BS,,2,2
13 Feet,East,2,3 Cars  & 2 Bikes,5,4,Full-Furnished,Rs. 7Cr,"Buddhanagar, Kathmandu",8.1 aana,2078 BS,,2,2
20 Feet,North,3.5,2 Cars  & 1 Bike,6,4,,Rs. 3Cr,"Imadol, Lalitpur",,2079 BS,,1,
16 Feet,South-West,3,2 Cars  & 6 Bikes,5,6,Full-Furnished,Rs. 4.7Cr,"Ochu Height, Lalitpur",,2080 BS,3863 Sq. Ft.,1,
20 Feet,East,2.5,2 Cars  & 1 Bike,7,7,Full-Furnished,Rs. 4.25Cr,"Pokhara, Kaski",,2079 BS,,,
20 Feet,South-East,,1 Car  & 2 Bikes,4,3,Semi-Furnished,Rs. 3.2Cr,"Bhaisepati, Lalitpur",3.2 aana,2069 BS,1800 Sq. Ft.,2,
26 Feet,South-East,3.5,2 Cars  & 3 Bikes,6,6,Semi-Furnished,Rs. 5.5Cr,"Bhaisepati, Lalitpur",,2080 BS,4200 Sq. Ft.,1,1
13 Feet,West,3,1 Car  & 1 Bike,4,4,Semi-Furnished,Rs. 2.4Cr,"Setipakha, Lalitpur",,2080 BS,,,
13 Feet,North-East,3.5,1 Car  & 1 Bike,5,4,Full-Furnished,Rs. 2.85Cr,"Harisiddhi, Lalitpur",3.3 aana,2077 BS,,,1
13 Feet,East,3,1 Car  & 4 Bikes,5,4,Full-Furnished,Rs. 3.2Cr,"Shital Height, Lalitpur",3.2 aana,2079 BS,2500 Sq. Ft.,,1
20 Feet,North,2.5,1 Car  & 4 Bikes,3,2,Full-Furnished,Rs. 1.35Cr,"Machhe Gaun, Kathmandu",3.1 aana,2079 BS,3079 Sq. Ft.,2,
13 Feet,South,3,2 Cars  & 1 Bike,5,4,Semi-Furnished,Rs. 3.35Cr,"Sitapakha, Lalitpur",,2080 BS,,2,1
20 Feet,North,3,1 Car  & 1 Bike,4,4,Semi-Furnished,Rs. 2.85Cr,"Harisiddhi, Lalitpur",3.2 aana,2080 BS,,,
22 Feet,South-West,3.5,1 Car  & 1 Bike,5,4,Full-Furnished,Rs. 6.5Cr,"Pokhara, Kaski",4.1 aana,2078 BS,,2,1
12 Feet,West,2.5,1 Car  & 2 Bikes,5,2,Full-Furnished,Price on call,"Narayanthan , Kathmandu",5.2 aana,2020 AD,997 Sq. Ft.,2,1
13 Feet,South,2.5,2 Cars  & 1 Bike,6,3,Full-Furnished,Rs. 2.1Cr,"Imadol, Lalitpur",,2071 BS,,2,
13 Feet,North,2.5,1 Car  & 2 Bikes,5,4,Full-Furnished,Rs. 3.2Cr,"Imadol, Lalitpur",3.1 aana,2080 BS,2150 Sq. Ft.,2,
16 Feet,South-East,2.5,1 Car  & 4 Bikes,5,5,Full-Furnished,Rs. 4.5Cr,"Sanagaun, Lalitpur",3.2 aana,2080 BS,3000 Sq. Ft.,1,1
13 Feet,South,1.5,1 Car  & 2 Bikes,2,1,Semi-Furnished,Rs. 1.5Cr,"Bishundole, Lalitpur",,2080 BS,1430 Sq. Ft.,2,1
20 Feet,South,3,2 Cars  & 2 Bikes,5,5,Full-Furnished,Rs. 3.55Cr,"Ochu Height, Lalitpur",3.1 aana,2080 BS,,,1
13 Feet,North-West,3,1 Car  & 5 Bikes,5,5,Full-Furnished,Rs. 3.37Cr,"Shital Height, Lalitpur",3.2 aana,2080 BS,2200 Sq. Ft.,2,2
16 Feet,South-West,2.5,1 Car  & 2 Bikes,5,5,Full-Furnished,Rs. 4.5Cr,"Sanagaun Lubhu, Lalitpur",3.2 aana,2080 BS,3000 Sq. Ft.,,
13 Feet,South-East,2.5,1 Car  & 2 Bikes,5,3,Full-Furnished,Rs. 2.35Cr,"Imadol, Lalitpur",,2076 BS,,2,1
16 Feet,South,3.5,1 Car  & 9 Bikes,10,9,Semi-Furnished,Rs. 13.8Cr,"Anamnagar, Kathmandu",4.2 aana,2075 BS,1200 Sq. Ft.,,1
13 Feet,South,3.5,2 Cars  & 2 Bikes,7,5,Full-Furnished,Rs. 4.15Cr,"Shital Height, Lalitpur",,2080 BS,3148 Sq. Ft.,2,1
13 Feet,South,3,1 Car  & 3 Bikes,5,4,Semi-Furnished,Rs. 2.97Cr,"Sanagaun, Lalitpur",,2080 BS,2200 Sq. Ft.,2,
12 Feet,North-East,3,1 Car  & 3 Bikes,2,1,Un-Furnished,Rs. 1.4Cr,"Jhaukhel, Bhaktapur",,,847 Sq. Ft.,,
14 Feet,South-West,3,2 Cars  & 3 Bikes,5,6,Semi-Furnished,Rs. 4.7Cr,"Ochu Height, Lalitpur",,2080 BS,3864 Sq. Ft.,2,1
13 Feet,South,3.5,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 2.65Cr,"Imadol, Lalitpur",2.3 aana,2080 BS,2400 Sq. Ft.,1,2
13 Feet,East,2.5,1 Car  & 1 Bike,4,3,Semi-Furnished,Rs. 2.3Cr,"Tikathali, Lalitpur",2.3 aana,2080 BS,,2,2
13 Feet,West,3.5,2 Cars  & 1 Bike,7,4,Full-Furnished,Rs. 6.5Cr,"Baluwakhani, Kathmandu",,2078 BS,,1,1
20 Feet,North-East,2.5,1 Car  & 2 Bikes,3,2,Semi-Furnished,Rs. 2.1Cr,"Lubhu, Lalitpur",,,,2,2
13 Feet,South-East,3.5,1 Car  & 1 Bike,7,4,,Rs. 3.8Cr,"Bouddha, Kathmandu",4.1 aana,2069 BS,,2,2
13 Feet,East,3.5,1 Car  & 2 Bikes,4,4,Un-Furnished,Rs. 1.4Cr,"Ramkot, Kathmandu",,,,1,
14 Feet,West,3.5,1 Car  & 1 Bike,5,6,Semi-Furnished,Rs. 4.7Cr,"Ochu Height, Lalitpur",,2080 BS,,2,1
13 Feet,East,2.5,1 Car  & 1 Bike,4,4,Semi-Furnished,Rs. 2.3Cr,"Shital Height, Lalitpur",2.3 aana,2080 BS,,1,2
13 Feet,North-East,2.5,1 Car  & 5 Bikes,4,3,Full-Furnished,Price on call,"Grande Hospital, Kathmandu",,2022 AD,750 Sq. Ft.,2,
20 Feet,East,3,1 Car  & 2 Bikes,6,4,Semi-Furnished,Rs. 2.5Cr,"Ganesh Chowk, Kathmandu",,2072 BS,,1,1
16 Feet,South,3.5,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 2.98Cr,"Imadol, Lalitpur",,2080 BS,2670 Sq. Ft.,2,2
13 Feet,South-West,3.5,1 Car  & 3 Bikes,5,6,Full-Furnished,Rs. 5.5Cr,"Imadol, Lalitpur",5.2 aana,2079 BS,3280 Sq. Ft.,2,
4 Feet,East,2.5,3 Bikes,4,4,Semi-Furnished,Rs. 2.5Cr,"Galkopakha, Kathmandu",,2073 BS,1369 Sq. Ft.,,2
13 Feet,South-West,3.5,1 Car  & 4 Bikes,5,6,Full-Furnished,Rs. 5.5Cr,"Bojepokhari, Lalitpur",5.2 aana,2079 BS,3279 Sq. Ft.,1,
13 Feet,East,3,1 Car  & 1 Bike,4,4,Semi-Furnished,Rs. 2.75Cr,"Imadol, Lalitpur",,2080 BS,,2,
13 Feet,South,1,1 Car  & 2 Bikes,3,2,Full-Furnished,Rs. 1.3Cr,"Imadol, Lalitpur",,2079 BS,1026.75 Sq. Ft.,,
21 Feet,East,2,4 Cars  & 1 Bike,4,5,Full-Furnished,Rs. 3.5Lac/m,"Budhanilkantha, Kathmandu",,2079 BS,,,
16 Feet,South-East,2.5,1 Car  & 2 Bikes,5,4,Full-Furnished,Rs. 1.32Lac/m,"Dhobighat, Lalitpur",,,,2,1
13 Feet,West,2.5,1 Car  & 1 Bike,7,3,Semi-Furnished,Rs. 2Cr,"Lubhu, Lalitpur",3.1 aana,2077 BS,,,2
5 Feet,South,4,5 Bikes,5,3,Un-Furnished,Rs. 5.5Cr,"Ason, Kathmandu",2.2 aana,,,2,2
13 Feet,East,3.5,1 Car  & 3 Bikes,5,4,Semi-Furnished,Rs. 2.6Cr,"Bojepokhari, Lalitpur",,2080 BS,2200 Sq. Ft.,,1
19 Feet,South,3,1 Car  & 4 Bikes,5,5,Full-Furnished,Rs. 3.55Cr,"Ochu Height, Lalitpur",3.1 aana,2080 BS,2200 Sq. Ft.,1,2
15 Feet,North-East,3,2 Cars  & 1 Bike,4,5,Semi-Furnished,Rs. 3.5Cr,"Bhaisepati, Lalitpur",,2080 BS,,1,1
16 Feet,North,2.5,2 Cars  & 5 Bikes,4,4,Full-Furnished,Rs. 2.6Cr,"Nakhipot, Lalitpur",,2078 BS,2101 Sq. Ft.,1,2
17 Feet,East,2.5,2 Cars  & 1 Bike,5,4,Semi-Furnished,Rs. 1.65Cr,"Lubhu, Lalitpur",,2080 BS,,1,
13 Feet,South,3.5,1 Car  & 1 Bike,4,5,Full-Furnished,Rs. 7.75Cr,"Maharajgunj, Kathmandu",6.2 aana,,,,1
13 Feet,South,2.5,1 Car  & 2 Bikes,4,3,Full-Furnished,Rs. 1.5Lac/m,"Thaiba, Lalitpur",,,,1,2
13 Feet,South,2.5,1 Car  & 2 Bikes,4,4,,Rs. 3.9Cr,"Bhangal , Kathmandu",,,,1,1
12 Feet,East,3.5,1 Car  & 4 Bikes,14,10,Full-Furnished,Rs. 3.5Cr,"Satungal, Kathmandu",,2079 BS,1100 Sq. Ft.,1,2
20 Feet,East,2.5,1 Car  & 9 Bikes,11,3,Un-Furnished,Rs. 2Lac/m,"Chabahil, Kathmandu",,,,,1
25 Meter,North-East,2,2 Cars  & 4 Bikes,4,2,Full-Furnished,Rs. 2.1Cr,"Dhapasi, Kathmandu",,2080 BS,1400 Sq. Ft.,2,2
13 Feet,East,2.5,1 Car  & 3 Bikes,4,3,Semi-Furnished,Rs. 2.4Cr,"Tikathali, Lalitpur",3.2 aana,2078 BS,,1,
13 Feet,South-West,2.5,1 Car  & 4 Bikes,3,3,Semi-Furnished,Rs. 2.35Cr,"Katunje, Bhaktapur",3.1 aana,2072 BS,2000 Sq. Ft.,1,2
11 Feet,East,2.5,1 Car  & 1 Bike,5,3,Semi-Furnished,Rs. 2.6Cr,"Tikathali, Lalitpur",,2080 BS,,2,1
13 Feet,East,2.5,1 Car  & 4 Bikes,5,4,Semi-Furnished,Rs. 2.43Cr,"Imadol, Lalitpur",,2076 BS,1800 Sq. Ft.,2,2
12 Feet,South-East,2.5,1 Car  & 1 Bike,8,5,Full-Furnished,Rs. 4.25Cr,"Dholahiti, Lalitpur",4.1 aana,2080 BS,,2,
12 Feet,South,3.5,1 Car  & 1 Bike,6,5,Full-Furnished,Rs. 3.95Cr,"Shital Height, Lalitpur",,2080 BS,,1,
12 Feet,South-West,2.5,1 Car  & 1 Bike,4,3,Semi-Furnished,Rs. 2.34Cr,"Shital Height, Lalitpur",2.3 aana,2080 BS,,,1
13 Feet,East,3,1 Car  & 2 Bikes,4,3,Semi-Furnished,Rs. 2.6Cr,"Bojepokhari, Lalitpur",,2080 BS,,,
17 Feet,South,2.5,1 Car  & 3 Bikes,7,4,Un-Furnished,Rs. 2.85Cr,"Imadol, Lalitpur",,,,2,1
19 Feet,South-West,2.5,2 Cars  & 1 Bike,5,5,Full-Furnished,Rs. 4.8Cr,"Imadol, Lalitpur",5.2 aana,2080 BS,,1,2
20 Feet,South,2.5,2 Cars  & 3 Bikes,7,4,Un-Furnished,Rs. 2.8Cr,"Imadol, Lalitpur",3.2 aana,,,1,
16 Feet,South,2.5,1 Car  & 3 Bikes,7,4,Un-Furnished,Rs. 2.7Cr,"Imadol, Lalitpur",,,,,2
13 Feet,South-West,2.5,2 Cars  & 3 Bikes,7,4,Un-Furnished,Rs. 3.25Cr,"Imadol, Lalitpur",4.2 aana,,,,2
13 Feet,South-East,2.5,1 Car  & 2 Bikes,6,4,Un-Furnished,Rs. 2.3Cr,"Imadol, Lalitpur",,,,1,
12 Feet,North,2.5,2 Cars  & 4 Bikes,7,5,Un-Furnished,Price on call,"Imadol, Lalitpur",3.2 aana,,0 Sq. Ft.,1,1
15 Feet,West,2.5,1 Car  & 3 Bikes,6,3,Semi-Furnished,Rs. 2.39Cr,"Imadol, Lalitpur",3.1 aana,2078 BS,2200 Sq. Ft.,,1
12 Feet,North,2.5,2 Cars  & 3 Bikes,6,5,Un-Furnished,Price on call,"Imadol, Lalitpur",,,0 Sq. Ft.,2,2
13 Feet,North,2.5,1 Car  & 3 Bikes,4,2,Semi-Furnished,Rs. 2.2Cr,"Tikathali, Lalitpur",3.2 aana,2077 BS,2200 Sq. Ft.,2,1
13 Feet,East,2.5,1 Car  & 2 Bikes,4,4,Semi-Furnished,Rs. 3.6Cr,"Jorpati, Kathmandu",,2076 BS,1800 Sq. Ft.,2,2
23 Feet,East,2.5,1 Car  & 2 Bikes,5,3,Full-Furnished,Rs. 3.3Cr,"Setipakha, Lalitpur",4.2 aana,,3000 Sq. Ft.,,
20 Feet,North-East,3.5,2 Cars  & 1 Bike,7,5,Full-Furnished,Price on call,"Dhapakhel, Lalitpur",,2079 BS,,1,
16 Feet,West,3.5,1 Car  & 3 Bikes,5,4,Semi-Furnished,Rs. 3.85Cr,"Jwagal, Lalitpur",,2080 BS,2670 Sq. Ft.,,
20 Feet,South,2.5,5 Bikes,4,3,Un-Furnished,Price on call,"Khadka Gaun, Kathmandu",2.5 aana,2074 BS,500 Sq. Ft.,1,
20 Feet,North,3.5,1 Car  & 3 Bikes,5,4,Semi-Furnished,Rs. 3.25Cr,"Imadol, Lalitpur",,,2400 Sq. Ft.,2,1
12 Feet,South-East,2.5,1 Car  & 2 Bikes,4,4,Un-Furnished,Rs. 2.1Cr,"Imadol, Lalitpur",2.3 aana,2080 BS,0 Sq. Ft.,1,2
13 Feet,South-East,2.5,1 Car  & 5 Bikes,6,4,Semi-Furnished,Rs. 4.3Cr,"Kharibot, Kathmandu",,2019 AD,,,
13 Feet,East,2.5,3 Cars  & 4 Bikes,5,3,Full-Furnished,Rs. 8Cr,"Gwarko, Lalitpur",9.2 aana,,,,1
13 Feet,South-West,3.5,2 Cars  & 4 Bikes,7,6,Semi-Furnished,Rs. 7.5Cr,"Baluwatar, Kathmandu",6.2 aana,2080 BS,3800 Sq. Ft.,2,1
13 Feet,North,2.5,2 Cars  & 3 Bikes,5,5,Full-Furnished,"Rs. 85,000","Bhaisepati, Lalitpur",,,2550 Sq. Ft.,,
12 Feet,South-East,3,1 Car  & 1 Bike,5,5,Semi-Furnished,Rs. 3.1Cr,"Imadol, Lalitpur",3.2 aana,2080 BS,,1,
15 Feet,East,2.5,,5,3,Full-Furnished,Rs. 3.25Cr,"Sitapaila, Kathmandu",,,,1,
13 Feet,South,2.5,1 Car  & 1 Bike,6,4,Semi-Furnished,Rs. 4.25Cr,"Hattiban, Lalitpur",,2080 BS,,2,2
13 Feet,West,2.5,1 Car  & 3 Bikes,5,4,Semi-Furnished,Rs. 2.1Cr,"Shital Height, Lalitpur",2.3 aana,2080 BS,2200 Sq. Ft.,2,
13 Feet,South,2.5,2 Cars  & 3 Bikes,3,4,Full-Furnished,Rs. 5Cr,"Budhanilkantha, Kathmandu",,,,,2
20 Feet,West,3,2 Cars  & 4 Bikes,5,5,Full-Furnished,Rs. 4.9Cr,"Tikathali, Lalitpur",5.2 aana,2080 BS,2500 Sq. Ft.,,
16 Feet,North,3.5,3 Cars  & 4 Bikes,5,5,Semi-Furnished,Rs. 2.9Cr,"Ochu Height, Lalitpur",4.2 aana,2080 BS,2500 Sq. Ft.,,
16 Feet,South,2.5,1 Car  & 1 Bike,6,1,Un-Furnished,"Rs. 80,000/m","Sitapakha, Lalitpur",,2075 BS,,2,
13 Feet,South,3,1 Car  & 4 Bikes,5,4,Full-Furnished,Rs. 3.07Cr,"Rajkulo, Lalitpur",3.2 aana,2080 BS,2200 Sq. Ft.,2,
12 Feet,East,3.5,2 Bikes,8,4,Un-Furnished,Rs. 7Cr,"New Baneshwor, Kathmandu",,,,2,
10 Feet,North,2.5,2 Bikes,,,Un-Furnished,Rs. 2.7Cr,"Chunikhel, Kathmandu",3.3 aana,,,1,1
13 Feet,South,2.5,1 Car  & 4 Bikes,4,4,Semi-Furnished,Rs. 2.55Cr,"Rajkulo, Lalitpur",3.2 aana,2080 BS,2199 Sq. Ft.,,
26 Feet,West,1,1 Car,2,1,Semi-Furnished,Rs. 1.95Cr,"Jitpurphedi, Kathmandu",4.2 aana,2078 BS,,2,
17 Feet,West,3.5,2 Cars  & 4 Bikes,6,4,Un-Furnished,Rs. 8.25Cr,"Dhapasi, Kathmandu",6.3 aana,,,,1
20 Feet,West,3.5,2 Cars  & 3 Bikes,,,Un-Furnished,Rs. 4.7Cr,"Chyasundole, Kathmandu",,,,2,2
13 Feet,West,2.5,1 Car  & 1 Bike,5,5,Semi-Furnished,Rs. 4.5Cr,"Harisiddhi, Lalitpur",6.2 aana,2077 BS,0 Sq. Ft.,2,
10 Feet,North,3.5,1 Car  & 2 Bikes,6,5,Semi-Furnished,Rs. 3.3Cr,"Tikathali, Lalitpur",4.2 aana,2080 BS,,,1
13 Feet,West,3,1 Car  & 4 Bikes,6,4,Semi-Furnished,Rs. 2.6Cr,"Tikathali, Lalitpur",,2080 BS,2200 Sq. Ft.,,
12 Feet,West,3,1 Car  & 5 Bikes,7,4,Semi-Furnished,Rs. 3.15Cr,"Tikathali, Lalitpur",3.2 aana,2080 BS,2200 Sq. Ft.,,1
13 Feet,West,3,1 Car  & 3 Bikes,6,4,Un-Furnished,Rs. 2.3Cr,"Tikathali, Lalitpur",2.2 aana,2080 BS,2200 Sq. Ft.,,1
12 Feet,South-East,2.5,4 Cars  & 9 Bikes,4,4,Semi-Furnished,Rs. 12.5Cr,"Basundhara, Kathmandu",,2070 BS,,1,
10 Feet,East,2.5,2 Cars  & 6 Bikes,4,4,Semi-Furnished,Rs. 3.1Cr,"Setipakha, Lalitpur",5.2 aana,2075 BS,,,
13 Feet,South,1,1 Car  & 1 Bike,2,1,Semi-Furnished,Rs. 1.55Cr,"Changathali, Lalitpur",3.2 aana,,,2,2
20 Feet,South,2.5,1 Car  & 2 Bikes,5,5,Semi-Furnished,Rs. 3.3Cr,"Imadol, Lalitpur",3.2 aana,2080 BS,2500 Sq. Ft.,,2
11 Feet,South,3.5,1 Car  & 2 Bikes,5,6,Full-Furnished,Rs. 2.8Cr,"Imadol, Lalitpur",,2080 BS,2780 Sq. Ft.,2,1
15 Feet,South,1.5,1 Car  & 2 Bikes,3,1,Semi-Furnished,Rs. 1.4Cr,"Gurjudhara, Kathmandu",,2077 BS,800 Sq. Ft.,1,
12 Feet,North,3,1 Car  & 4 Bikes,5,2,Semi-Furnished,Rs. 2.5Cr,"Sanagaun, Lalitpur",,2080 BS,2200 Sq. Ft.,2,1
13 Feet,South,2.5,1 Car  & 3 Bikes,6,4,Full-Furnished,Rs. 4.25Cr,"Imadol, Lalitpur",4.1 aana,2080 BS,,2,
20 Feet,South-East,2.5,5 Cars  & 9 Bikes,4,4,Semi-Furnished,Rs. 12.5Cr,"Basundhara, Kathmandu",,2070 BS,3500 Sq. Ft.,,2
13 Feet,North-East,2.5,3 Cars  & 4 Bikes,,,Un-Furnished,Rs. 2.99Cr,"Imadol, Lalitpur",,2077 BS,,,2
10 Feet,West,3.5,1 Car  & 1 Bike,6,4,Semi-Furnished,Rs. 1.5Cr,"Shital Height, Lalitpur",2.3 aana,,,2,2
13 Feet,East,2.5,1 Car  & 1 Bike,6,5,Semi-Furnished,Rs. 3.9Cr,"Budhanilkantha, Kathmandu",,2080 BS,,2,2
18 Feet,South,2.5,1 Car  & 4 Bikes,5,5,Full-Furnished,Rs. 2.25Lac/m,"Sanepa, Lalitpur",4.2 aana,,,1,2
20 Feet,East,2.5,1 Car  & 3 Bikes,4,4,Full-Furnished,Rs. 4.5Cr,"Bojepokhari, Lalitpur",3.2 aana,,,,
20 Feet,North,2.5,1 Car  & 2 Bikes,3,2,Semi-Furnished,Rs. 1.3Cr,"Satungal, Kathmandu",,2073 BS,1500 Sq. Ft.,1,1
23 Feet,East,2.5,1 Car  & 3 Bikes,5,3,Semi-Furnished,Rs. 3.3Cr,"Sitapakha, Lalitpur",4.2 aana,2070 BS,2500 Sq. Ft.,,
11 Feet,South,2.5,1 Car  & 2 Bikes,5,3,Semi-Furnished,Rs. 2.6Cr,"Tikathali, Lalitpur",,2080 BS,2158 Sq. Ft.,1,
11 Feet,North,3,1 Car  & 2 Bikes,6,6,Semi-Furnished,Rs. 3.44Cr,"Imadol, Lalitpur",3.3 aana,2080 BS,2797 Sq. Ft.,2,1
20 Feet,South,2.5,1 Car  & 3 Bikes,5,3,Semi-Furnished,Rs. 2.25Cr,"Sanagaun Lubhu, Lalitpur",2.3 aana,2080 BS,2199 Sq. Ft.,2,1
13 Feet,North,3,1 Car  & 4 Bikes,5,7,Full-Furnished,Rs. 2.95Cr,"Shital Height, Lalitpur",,2080 BS,2200 Sq. Ft.,1,2
15 Feet,East,3,3 Cars  & 5 Bikes,6,5,Un-Furnished,Rs. 3.3Cr,"Shital Height, Lalitpur",,2080 BS,2500 Sq. Ft.,,
20 Feet,South-East,3,3 Cars  & 6 Bikes,10,10,Semi-Furnished,Rs. 10.7Cr,"Budhanilkantha, Kathmandu",,2080 BS,6000 Sq. Ft.,2,2
13 Feet,South,3.5,1 Car  & 3 Bikes,6,6,Full-Furnished,Rs. 3.15Cr,"Shital Height, Lalitpur",,2080 BS,2200 Sq. Ft.,1,2
12 Feet,North,3.5,5 Cars  & 9 Bikes,7,6,Full-Furnished,Rs. 4Cr,"Bhangal , Kathmandu",,2078 BS,1189 Sq. Ft.,2,
18 Feet,North-West,2.5,1 Car  & 2 Bikes,5,3,Semi-Furnished,Rs. 2.25Cr,"Godawari, Lalitpur",4.2 aana,,2200 Sq. Ft.,2,
11 Feet,North-East,2.5,1 Car  & 3 Bikes,4,3,Full-Furnished,Rs. 3.65Cr,"Bhaisepati, Lalitpur",,2074 BS,2198 Sq. Ft.,,1
13 Feet,West,2.5,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 2.75Cr,"Imadol, Lalitpur",,2080 BS,2098 Sq. Ft.,2,2
11 Feet,South-West,3.5,2 Cars  & 4 Bikes,6,4,Full-Furnished,Rs. 3.25Cr,"Dhapakhel, Lalitpur",3.2 aana,2080 BS,4700 Sq. Ft.,2,
13 Feet,North,3.5,1 Car  & 4 Bikes,9,5,Un-Furnished,Rs. 2.85Cr,"Ochu Height, Lalitpur",,2075 BS,2499 Sq. Ft.,2,1
16 Feet,West,3.5,1 Car  & 2 Bikes,5,5,Semi-Furnished,Rs. 3.35Cr,"Imadol, Lalitpur",3.1 aana,2080 BS,2821 Sq. Ft.,1,
13 Feet,South-East,2.5,2 Cars  & 4 Bikes,5,6,Full-Furnished,Rs. 5Cr,"Tikathali, Lalitpur",,2077 BS,3000 Sq. Ft.,1,
15 Feet,East,3,1 Car  & 4 Bikes,5,5,Un-Furnished,Rs. 3Cr,"Mahankal, Kathmandu",4.2 aana,2014 AD,1540.12 Sq. Ft.,2,
12 Feet,South,2.5,5 Cars  & 8 Bikes,2,4,Full-Furnished,Rs. 3.5Lac/m,"Tangal, Kathmandu",,,,1,
